"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"Jack Grealish","AVL","M","1","Joe","CRY Sun 4:00AM","330.25","27.52","100%","0%","12","12","1,080","5","0.4","6","11","37","12","22","56","3","0","31","3","0","7"
"Bruno Fernandes","MUN","M","2","MKJ","@LEI Sun 1:30AM","345.75","26.6","100%","0%","13","12","1,036","9","0.7","5","14","40","18","14","19","2","0","20","2","4","3"
"Mohamed Salah","LIV","F","3","ratzzz","WBA Mon 5:30AM","316.75","24.37","100%","0%","13","12","1,080","13","1.0","3","16","47","25","5","10","0","0","5","5","5","2"
"Kevin De Bruyne","MCI","M","4","Joe","NEW Sun 9:00AM","279","23.25","100%","0%","12","11","1,012","2","0.2","7","9","42","12","12","16","1","0","15","1","2","5"
"Harry Kane","TOT","F","5","BS420FC","@WOL Mon 8:15AM","316.25","22.59","100%","0%","14","14","1,254","9","0.6","10","19","54","21","16","29","1","0","19","5","2","5"
"James Rodriguez","EVE","M,F","6","BCFC","@SHU Sun 9:00AM","192","19.2","94%","0%","10","10","845","3","0.3","3","6","22","10","8","22","1","0","11","3","0","1"
"Son Heung-Min","TOT","M,F","7","BigUps","@WOL Mon 8:15AM","265.5","18.96","100%","0%","14","14","1,176","11","0.8","4","15","25","15","3","18","0","0","3","6","0","5"
"Dominic Calvert-Lewin","EVE","F","8","Bantztas","@SHU Sun 9:00AM","260.5","18.61","100%","0%","14","14","1,238","11","0.8","0","11","42","24","16","22","2","0","22","9","0","3"
"Jamie Vardy","LEI","F","9","BCFC","MUN Sun 1:30AM","241.75","18.6","100%","0%","13","12","1,098","11","0.8","4","15","35","20","10","10","1","0","13","13","6","4"
"Joao Cancelo","MCI","D","10","BigUps","NEW Sun 9:00AM","166","18.44","99%","+0.1%","9","9","810","0","0.0","1","1","8","2","14","7","2","0","20","0","0","5"
"Riyad Mahrez","MCI","M,F","11","Blkeburn","NEW Sun 9:00AM","181.5","18.15","100%","0%","10","9","768","4","0.4","1","5","25","11","9","8","0","0","9","1","0","5"
"Sadio Mane","LIV","M,F","12","Blkeburn","WBA Mon 5:30AM","232.5","17.88","100%","0%","13","12","1,062","5","0.4","2","7","40","19","24","36","2","0","30","12","0","3"
"Ben Chilwell","CHE","D","13","BS420FC","@ARS Sun 6:30AM","194.25","17.66","100%","0%","11","11","902","2","0.2","3","5","9","6","8","17","1","0","11","1","0","5"
"Mason Mount","CHE","M","14","248 SC","@ARS Sun 6:30AM","228.25","17.56","100%","0%","13","12","1,080","1","0.1","3","4","25","9","18","10","2","0","24","1","0","4"
"James Ward-Prowse","SOU","M","15","Joe","@FUL Sun 4:00AM","239.75","17.12","100%","0%","14","14","1,260","4","0.3","3","7","14","8","23","13","3","0","32","0","0","5"
"Lucas Digne","EVE","D","16","STV","@SHU Sun 9:00AM","134","16.75","96%","-0.3%","8","8","702","0","0.0","4","4","3","0","11","6","0","1","17","0","0","1"
"Marcus Rashford","MUN","F","17","BCFC","@LEI Sun 1:30AM","217.5","16.73","100%","0%","13","12","1,095","5","0.4","4","9","33","16","10","20","1","0","13","8","0","3"
"Andrew Robertson","LIV","D","18","BCFC","WBA Mon 5:30AM","232.5","16.61","100%","0%","14","14","1,260","1","0.1","5","6","7","2","9","4","0","0","9","3","0","4"
"Mateusz Klich","LEE","M","19","splitt1n","BUR Mon 1:00AM","228.75","16.34","99%","0%","14","14","1,192","3","0.2","4","7","17","6","28","9","4","0","40","2","2","4"
"Pedro Neto","WOL","M,F","20","BS420FC","TOT Mon 8:15AM","227.5","16.25","91%","0%","14","13","1,111","4","0.3","2","6","27","10","11","23","0","0","11","3","0","4"
"Thiago","LIV","M","21","Bantztas","WBA Mon 5:30AM","31.5","15.75","78%","-0.2%","2","1","135","0","0.0","0","0","3","0","4","2","0","0","4","0","0","0"
"Jack Harrison","LEE","M","22","Blkeburn","BUR Mon 1:00AM","201","15.46","97%","+0.2%","13","13","1,073","2","0.2","4","6","17","5","8","10","0","0","8","6","0","4"
"Kurt Zouma","CHE","D","23","splitt1n","@ARS Sun 6:30AM","199.75","15.37","92%","-0.1%","13","13","1,170","4","0.3","0","4","11","7","10","2","1","0","13","0","0","6"
"Kortney Hause","AVL","D","24","W (Wed)","CRY Sun 4:00AM","30.5","15.25","9%","+4.4%","2","2","180","0","0.0","0","0","1","0","2","1","1","0","5","0","0","2"
"Timothy Castagne","LEI","D,M","25","BS420FC","MUN Sun 1:30AM","105","15","92%","+0.6%","7","7","600","1","0.1","2","3","2","2","6","2","1","0","9","0","0","3"
"Solly March","BHA","M","26","ratzzz","@WHU Mon 3:15AM","193","14.85","84%","-0.1%","13","13","1,114","2","0.2","1","3","13","3","18","15","0","0","18","1","0","2"
"Callum Wilson","NEW","F","27","BS420FC","@MCI Sun 9:00AM","177.25","14.77","93%","0%","12","12","1,060","8","0.7","3","11","24","11","20","22","2","0","26","8","4","2"
"Serge Aurier","TOT","D","28","WW69","@WOL Mon 8:15AM","117.25","14.66","95%","0%","8","8","694","1","0.1","1","2","6","3","13","7","0","0","13","0","0","3"
"Ollie Watkins","AVL","F","29","Joe","CRY Sun 4:00AM","174.75","14.56","91%","-0.4%","12","12","1,080","6","0.5","1","7","30","14","10","14","1","0","13","12","1","7"
"Antonee Robinson","FUL","D,M","30","Joe","SOU Sun 4:00AM","160","14.55","62%","0%","11","11","990","0","0.0","0","0","2","2","10","4","3","0","19","0","0","2"
"Jannik Vestergaard","SOU","D","31","BigUps","@FUL Sun 4:00AM","188.75","14.52","90%","-0.1%","13","12","1,125","3","0.2","0","3","10","5","10","5","0","0","10","0","0","5"
"Patrick Bamford","LEE","F","32","248 SC","BUR Mon 1:00AM","201.75","14.41","99%","0%","14","14","1,189","9","0.6","1","10","52","24","13","6","1","0","16","10","0","4"
"Nathaniel Phillips","LIV","D","33","W (Tue)","WBA Mon 5:30AM","28.75","14.38","3%","-0.9%","2","2","180","0","0.0","0","0","0","0","5","0","0","0","5","0","0","0"
"Danny Ings","SOU","F","34","BigUps","@FUL Sun 4:00AM","157.75","14.34","100%","0%","11","10","891","6","0.5","3","9","25","13","9","11","1","0","12","4","2","4"
"Jimmy Dunne","BUR","D","35","W (Thu)","@LEE Mon 1:00AM","28.5","14.25","2%","-0.1%","2","2","180","1","0.5","0","1","3","1","1","2","0","0","1","0","0","0"
"Ademola Lookman","FUL","M,F","36","Joe","SOU Sun 4:00AM","156.5","14.23","78%","-0.2%","11","10","918","2","0.2","2","4","27","13","12","16","2","0","18","3","0","2"
"Richarlison","EVE","M,F","37","MKJ","@SHU Sun 9:00AM","154.75","14.07","100%","0%","11","11","907","2","0.2","3","5","29","13","11","27","2","1","23","7","1","3"
"Tom Cairney","FUL","M","38","STV","SOU Sun 4:00AM","139.25","13.93","41%","+1.9%","10","9","759","1","0.1","1","2","12","5","4","18","2","0","10","1","0","1"
"Reece James","CHE","D,M","39","ratzzz","@ARS Sun 6:30AM","167","13.92","100%","-0.2%","12","11","993","1","0.1","2","3","15","5","14","7","3","0","23","0","0","4"
"Ross Barkley","AVL","M","40","BS420FC","CRY Sun 4:00AM","111.25","13.91","86%","-0.9%","8","6","495","2","0.3","1","3","18","6","7","6","0","0","7","2","0","2"
"Anwar El Ghazi","AVL","M,F","41","W (Wed)","CRY Sun 4:00AM","83.25","13.88","29%","+7.6%","6","2","230","3","0.5","0","3","17","10","4","2","0","0","4","1","2","2"
"Roberto Firmino","LIV","M,F","42","Bantztas","WBA Mon 5:30AM","194.25","13.88","100%","0%","14","14","1,131","5","0.4","3","8","30","14","11","7","1","0","14","2","0","4"
"Timo Werner","CHE","M,F","43","248 SC","@ARS Sun 6:30AM","194.25","13.88","100%","0%","14","14","1,207","4","0.3","4","8","36","16","12","11","0","0","12","11","0","6"
"Alex Telles","MUN","D","44","BS420FC","@LEI Sun 1:30AM","69.25","13.85","82%","-2.8%","5","4","384","0","0.0","1","1","3","1","4","3","0","0","4","0","0","1"
"Wesley Fofana","LEI","D","45","STV","MUN Sun 1:30AM","138","13.8","66%","-0.7%","10","10","900","0","0.0","0","0","5","0","8","10","2","0","14","1","0","4"
"Raheem Sterling","MCI","F","46","splitt1n","NEW Sun 9:00AM","163.75","13.65","100%","0%","12","11","1,000","4","0.3","2","6","25","12","14","16","1","0","17","6","0","5"
"Jordan Henderson","LIV","M","47","STV","WBA Mon 5:30AM","150","13.64","70%","-0.3%","11","10","867","1","0.1","1","2","9","3","5","4","0","0","5","0","0","2"
"Aaron Cresswell","WHU","D","48","STV","BHA Mon 3:15AM","190.25","13.59","90%","-0.6%","14","14","1,260","0","0.0","4","4","6","2","2","9","0","0","2","0","0","4"
"Matt Doherty","TOT","D,M","49","BCFC","@WOL Mon 8:15AM","81.25","13.54","84%","-4.3%","6","6","526","0","0.0","1","1","1","1","7","6","1","0","10","0","0","2"
"Matheus Pereira","WBA","M,F","50","Joe","@LIV Mon 5:30AM","134.75","13.47","92%","-1.4%","10","10","788","1","0.1","2","3","17","5","13","23","1","1","22","6","0","2"
"Vladimir Coufal","WHU","D,M","51","ratzzz","BHA Mon 3:15AM","147.75","13.43","72%","+0.9%","11","11","985","0","0.0","2","2","3","1","11","11","2","0","17","0","0","3"
"Wilfried Zaha","CRY","M,F","52","248 SC","@AVL Sun 4:00AM","161","13.42","100%","-0.1%","12","12","1,071","7","0.6","2","9","30","10","17","34","2","0","23","6","2","1"
"Kenny Tete","FUL","D","53","W (Tue)","SOU Sun 4:00AM","26.75","13.38","7%","-0.1%","2","2","129","0","0.0","1","1","0","0","3","1","1","0","6","0","0","0"
"Hakim Ziyech","CHE","M,F","54","ratzzz","@ARS Sun 6:30AM","93.5","13.36","100%","0%","7","5","390","1","0.1","3","4","8","3","6","8","1","0","9","0","0","3"
"Tyrone Mings","AVL","D","55","STV","CRY Sun 4:00AM","160","13.33","88%","+0.4%","12","12","1,080","2","0.2","1","3","9","5","5","9","3","0","14","2","0","7"
"Ilkay Gundogan","MCI","M","56","W (Tue)","NEW Sun 9:00AM","106.25","13.28","49%","+7.9%","8","6","570","1","0.1","0","1","10","3","2","6","0","0","2","0","0","3"
"Matthew Cash","AVL","D","57","Joe","CRY Sun 4:00AM","145.25","13.2","72%","+2.6%","11","11","955","0","0.0","1","1","2","0","14","10","5","0","29","0","0","6"
"Tomas Soucek","WHU","M","58","splitt1n","BHA Mon 3:15AM","184.75","13.2","96%","-0.5%","14","14","1,260","3","0.2","0","3","25","7","25","18","1","0","28","0","0","4"
"Youri Tielemans","LEI","M","59","BCFC","MUN Sun 1:30AM","184.25","13.16","97%","-1.5%","14","14","1,260","3","0.2","0","3","18","9","14","26","3","0","23","0","2","5"
"Andros Townsend","CRY","M","60","BigUps","@AVL Sun 4:00AM","157.25","13.1","83%","-2.2%","12","11","926","1","0.1","2","3","11","5","15","17","0","0","15","1","0","1"
"John McGinn","AVL","M","61","BS420FC","CRY Sun 4:00AM","157.25","13.1","96%","-0.8%","12","12","1,080","1","0.1","4","5","15","2","12","29","4","0","24","1","0","7"
"Andre-Frank Zambo Anguissa","FUL","M","62","BS420FC","SOU Sun 4:00AM","182.5","13.04","75%","-0.9%","14","12","1,103","0","0.0","2","2","13","2","20","10","1","0","23","0","0","2"
"Che Adams","SOU","F","63","STV","@FUL Sun 4:00AM","181.5","12.96","97%","0%","14","14","1,207","4","0.3","4","8","26","13","15","20","1","0","18","9","0","5"
"Conor Hourihane","AVL","M","64","W (Wed)","CRY Sun 4:00AM","51.75","12.94","11%","-1.8%","4","3","227","1","0.3","1","2","5","2","1","0","0","0","1","0","0","2"
"Kalvin Phillips","LEE","M","65","splitt1n","BUR Mon 1:00AM","142.25","12.93","92%","-1.1%","11","11","945","0","0.0","2","2","6","2","13","17","4","0","25","0","0","3"
"Matt Targett","AVL","D,M","66","splitt1n","CRY Sun 4:00AM","155","12.92","59%","-2%","12","12","1,080","0","0.0","0","0","3","0","8","6","4","0","20","0","0","7"
"James Maddison","LEI","M,F","67","BS420FC","MUN Sun 1:30AM","167.75","12.9","100%","0%","13","8","793","3","0.2","1","4","25","6","7","31","2","0","13","3","0","4"
"Rodrigo","MCI","M","68","BCFC","NEW Sun 9:00AM","167.5","12.88","62%","-0.8%","13","13","1,125","0","0.0","0","0","14","3","15","12","2","0","21","1","0","5"
"Stuart Dallas","LEE","D,M","69","BS420FC","BUR Mon 1:00AM","179.5","12.82","69%","+0.8%","14","14","1,251","3","0.2","0","3","18","9","9","16","3","0","18","0","0","4"
"Daniel Podence","WOL","M,F","70","ratzzz","TOT Mon 8:15AM","166.5","12.81","97%","+0.1%","13","13","1,001","3","0.2","2","5","23","11","8","14","1","0","11","2","0","4"
"Jorginho","CHE","M","71","Blkeburn","@ARS Sun 6:30AM","102.25","12.78","48%","-2.4%","8","6","523","3","0.4","1","4","7","4","8","6","0","0","8","0","3","3"
"Diogo Jota","LIV","F","72","WW69","WBA Mon 5:30AM","113.5","12.61","91%","-1.5%","9","5","501","5","0.6","0","5","20","11","11","8","0","0","11","0","0","1"
"Ben Mee","BUR","D","73","W (Thu)","@LEE Mon 1:00AM","87.5","12.5","67%","+0.9%","7","7","630","0","0.0","0","0","4","2","3","6","0","0","3","0","0","4"
"Trezeguet","AVL","M,F","74","BCFC","CRY Sun 4:00AM","110.75","12.31","54%","-6%","9","8","720","0","0.0","1","1","22","6","22","5","0","0","22","1","0","4"
"Thiago Silva","CHE","D","75","248 SC","@ARS Sun 6:30AM","122.75","12.28","91%","-3.1%","10","10","883","2","0.2","0","2","4","3","5","9","1","0","8","0","0","5"
"Raul Jimenez","WOL","F","76","Blkeburn","TOT Mon 8:15AM","122","12.2","90%","-2.2%","10","10","824","4","0.4","0","4","26","10","9","17","0","0","9","4","0","4"
"Nelson Semedo","WOL","D,M","77","MKJ","TOT Mon 8:15AM","146","12.17","86%","-0.3%","12","12","1,051","0","0.0","0","0","10","3","19","12","1","0","22","1","0","3"
